                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.63028,                0.57544,                 1.1419,                0.70934,                0.94821,                0.98654,                0.95742,                0.50075,                0.36165,                0.88002,               0.002773,               0.002773,               0.002773
                     75,                 0.6208,                0.58763,                 1.1287,                0.77183,                0.97095,                0.82032,                0.75897,                0.49282,                0.34859,                0.87367,               0.002674,               0.002674,               0.002674
                     76,                0.62065,                0.59844,                 1.1369,                0.73508,                0.95784,                0.98597,                0.89218,                0.49845,                0.36131,                0.87684,               0.002575,               0.002575,               0.002575
                     77,                0.59552,                0.56918,                 1.1126,                0.68489,                 0.9705,                0.73637,                0.66504,                0.50177,                 0.3476,                0.88184,               0.002476,               0.002476,               0.002476
                     78,                0.59481,                0.58312,                 1.1141,                 0.7434,                0.96003,                0.81906,                0.77176,                0.49994,                0.35888,                0.87956,               0.002377,               0.002377,               0.002377
                     79,                0.61237,                0.57377,                 1.1273,                0.73483,                0.97064,                0.81848,                0.77249,                0.49502,                0.34413,                0.87907,               0.002278,               0.002278,               0.002278
                     80,                 0.5807,                0.53903,                 1.1072,                0.71555,                0.96464,                0.82067,                0.74325,                0.48508,                0.35273,                0.87182,               0.002179,               0.002179,               0.002179
                     81,                0.58888,                0.57465,                 1.1218,                0.87057,                0.95457,                 0.9857,                0.92425,                0.49892,                0.35531,                0.88406,                0.00208,                0.00208,                0.00208
                     82,                0.58931,                0.55336,                 1.1063,                0.79861,                0.93261,                0.98552,                0.92283,                0.49431,                0.35712,                0.87714,               0.001981,               0.001981,               0.001981
                     83,                0.56457,                0.53221,                 1.0999,                0.73667,                0.94495,                0.98389,                0.88992,                0.47731,                0.34379,                0.87042,               0.001882,               0.001882,               0.001882
                     84,                0.57853,                0.55355,                 1.1164,                0.88874,                0.94218,                0.98524,                0.89466,                0.47679,                  0.351,                0.87298,               0.001783,               0.001783,               0.001783
                     85,                0.57867,                0.54353,                 1.0968,                0.79832,                0.96592,                0.98641,                0.92627,                0.48881,                0.35031,                0.87708,               0.001684,               0.001684,               0.001684
                     86,                0.56298,                0.52742,                 1.0958,                0.81122,                0.97259,                0.98592,                 0.8929,                0.48366,                 0.3341,                0.87743,               0.001585,               0.001585,               0.001585
                     87,                0.56756,                0.50964,                 1.0961,                 0.9074,                0.97038,                0.98628,                0.92765,                0.48468,                0.31994,                0.87441,               0.001486,               0.001486,               0.001486
                     88,                0.57168,                0.55516,                 1.0975,                0.71233,                0.97045,                0.98654,                0.96225,                0.48276,                0.34671,                0.87114,               0.001387,               0.001387,               0.001387
                     89,                0.54135,                0.49963,                 1.0834,                0.76876,                 0.9601,                0.98582,                0.95881,                0.48304,                0.34628,                 0.8719,               0.001288,               0.001288,               0.001288
                     90,                0.49757,                0.42147,                 1.0643,                0.84291,                 0.9346,                0.98617,                0.95843,                0.48745,                 0.3499,                0.87511,               0.001189,               0.001189,               0.001189
                     91,                 0.4998,                0.41865,                 1.0856,                0.76669,                0.96038,                0.98664,                 0.9266,                0.50788,                  0.348,                0.88537,                0.00109,                0.00109,                0.00109
                     92,                0.46198,                0.36792,                 1.0296,                0.68415,                0.95176,                0.71852,                0.65389,                0.49377,                0.36522,                0.88136,               0.000991,               0.000991,               0.000991
                     93,                0.46443,                0.38983,                  1.048,                0.73163,                0.93112,                0.82045,                 0.7604,                0.49566,                0.35326,                0.87792,               0.000892,               0.000892,               0.000892
                     94,                0.45949,                0.36931,                 1.0479,                0.73749,                 0.9219,                0.82046,                0.76049,                0.50157,                0.35969,                0.87954,               0.000793,               0.000793,               0.000793
                     95,                0.44916,                0.36107,                 1.0322,                0.88196,                0.92199,                0.98384,                0.92132,                0.51021,                0.36849,                0.88897,               0.000694,               0.000694,               0.000694
                     96,                 0.4284,                   0.34,                 1.0132,                0.87183,                0.93819,                0.98328,                0.91999,                0.50892,                0.35083,                 0.8885,               0.000595,               0.000595,               0.000595
                     97,                0.44385,                0.36168,                 1.0441,                0.91419,                0.94068,                0.98418,                0.92041,                 0.4988,                0.34305,                0.88138,               0.000496,               0.000496,               0.000496
                     98,                 0.4284,                0.34354,                 1.0204,                 0.9138,                0.93535,                0.98378,                0.92287,                0.49419,                0.33809,                0.87942,               0.000397,               0.000397,               0.000397
                     99,                0.42912,                0.35292,                 1.0271,                0.88011,                0.93222,                0.98402,                0.92324,                0.49378,                0.33438,                0.87824,               0.000298,               0.000298,               0.000298
